@relation 'train1_data-weka.filters.unsupervised.attribute.Remove-R1-2,13-weka.filters.unsupervised.attribute.Remove-R1,5-6-weka.filters.unsupervised.attribute.Remove-R4,6'

@attribute Year numeric
@attribute Kilometers_Driven numeric
@attribute Fuel_Type {CNG,Diesel,Petrol,LPG,Electric}
@attribute Engine {'998 CC','1582 CC','1199 CC','1248 CC','1968 CC','814 CC','1461 CC','2755 CC','1598 CC','1462 CC','1497 CC','2179 CC','2477 CC','1498 CC','2143 CC','1995 CC','1984 CC','1197 CC','2494 CC','1798 CC','2696 CC','2698 CC','1061 CC','1198 CC','2987 CC','796 CC','624 CC','1999 CC','1991 CC','2694 CC','1120 CC','2498 CC','799 CC','2393 CC','1399 CC','1796 CC','2148 CC','1396 CC','1950 CC','4806 CC','1998 CC','1086 CC','1193 CC','2982 CC','1493 CC','2967 CC','2993 CC','1196 CC','1799 CC','2497 CC','2354 CC','1373 CC','2996 CC','1591 CC','2894 CC','5461 CC','1595 CC','936 CC','1997 CC',0,'1896 CC','1390 CC','1364 CC','2199 CC','993 CC','999 CC','1405 CC','2956 CC','1794 CC','995 CC','2496 CC','1599 CC','2400 CC','1495 CC','2523 CC','793 CC','4134 CC','1596 CC','1395 CC','2953 CC','1586 CC','2362 CC','1496 CC','1368 CC','1298 CC','1956 CC','1299 CC','3498 CC','2835 CC','1150 CC','3198 CC','1343 CC','1499 CC','1186 CC','1590 CC','2609 CC','2499 CC','2446 CC','1978 CC','2360 CC','3436 CC','2198 CC','4367 CC','2706 CC','1422 CC','2979 CC','1969 CC','1489 CC','2489 CC','1242 CC','1388 CC','1172 CC','2495 CC','1194 CC','3200 CC','1781 CC','1341 CC','2773 CC','3597 CC','1985 CC','2147 CC','1047 CC','2999 CC','2995 CC','2997 CC','1948 CC','2359 CC','4395 CC','2349 CC','2720 CC','1468 CC','3197 CC','2487 CC','1597 CC','2771 CC','72 CC','4951 CC','970 CC','2925 CC','2200 CC','5000 CC','2149 CC','5998 CC','2092 CC','5204 CC','2112 CC','1797 CC'}
@attribute Seats numeric
@attribute Price numeric

@data
2010,72000,CNG,'998 CC',5,1.75
2015,41000,Diesel,'1582 CC',5,12.5
2011,46000,Petrol,'1199 CC',5,4.5
2012,87000,Diesel,'1248 CC',7,6
2013,40670,Diesel,'1968 CC',5,17.74
2012,75000,LPG,'814 CC',5,2.35
2013,86999,Diesel,'1461 CC',5,3.5
2016,36000,Diesel,'2755 CC',8,17.5
2013,64430,Diesel,'1598 CC',5,5.2
2012,65932,Diesel,'1248 CC',5,1.95
2018,25692,Petrol,'1462 CC',5,9.95
2012,60000,Petrol,'1497 CC',5,4.49
2015,64424,Diesel,'1248 CC',5,5.6
2014,72000,Diesel,'2179 CC',5,27
2012,85000,Diesel,'2179 CC',5,17.5
2014,110000,Diesel,'2477 CC',7,15
2016,58950,Diesel,'1498 CC',5,5.4
2017,25000,Diesel,'1248 CC',5,5.99
2014,77469,Diesel,'1461 CC',5,6.34
2014,78500,Diesel,'2143 CC',5,28
2014,32982,Diesel,'1995 CC',5,18.55
2015,55392,Diesel,'1248 CC',5,8.25
2015,55985,Petrol,'1984 CC',5,23.5
2010,45807,Petrol,'1197 CC',5,1.87
2010,33000,Petrol,'1598 CC',5,2.85
2012,51920,Petrol,'1497 CC',5,4.25
2012,54000,Diesel,'1461 CC',5,4.25
2013,54000,Petrol,'998 CC',5,2.75
2018,37430,Petrol,'1199 CC',5,9.9
2007,262000,Diesel,'2494 CC',7,4
2013,62000,Diesel,'1461 CC',5,7.75
2012,87615,Petrol,'1798 CC',5,6.75
2013,72000,Diesel,'2696 CC',7,12.5
2010,35000,Diesel,'2698 CC',5,11.5
2014,55431,Petrol,'1598 CC',5,6.98
2009,83816,Petrol,'1061 CC',5,1.85
2018,50075,Diesel,'1248 CC',5,8.63
2017,52000,Petrol,'1198 CC',5,4.85
2013,85000,Diesel,'2987 CC',5,28
2013,62000,Diesel,'1199 CC',5,5
2008,90000,Petrol,'796 CC',5,1.25
2014,19698,Petrol,'624 CC',4,1.53
2017,22033,Diesel,'1198 CC',6,5.58
2014,35487,Petrol,'1197 CC',5,4.74
2014,46374,Petrol,'1999 CC',5,8.85
2016,52001,Petrol,'1798 CC',5,10.11
2008,58005,Diesel,'1991 CC',5,4.25
2012,70704,Petrol,'2694 CC',7,10.95
2014,75000,Diesel,'1120 CC',5,3.85
2012,75800,Diesel,'2498 CC',6,5.5
2015,13648,Diesel,'1968 CC',5,21.43
2014,52000,Diesel,'1248 CC',5,4.25
2014,53000,Diesel,'1248 CC',5,3.3
2013,65650,Diesel,'1248 CC',5,3.85
2015,54000,Petrol,'1197 CC',5,3.6
2015,39000,Petrol,'1598 CC',5,3.99
2017,16542,Petrol,'799 CC',5,3.3
2010,32000,Petrol,'1197 CC',5,2.07
2010,121812,Diesel,'1995 CC',5,7.75
2010,39300,Petrol,'998 CC',5,2.25
2017,22000,Diesel,'2393 CC',8,16.5
2010,72000,Diesel,'1399 CC',5,2.75
2015,58000,Petrol,'1796 CC',5,26.7
2011,65000,Diesel,'2148 CC',5,10
2016,178000,Diesel,'1396 CC',5,2.5
2012,65664,Diesel,'1968 CC',5,13.5
2007,63000,Petrol,'1497 CC',5,1.85
2019,15369,Diesel,'1950 CC',5,35.67
2016,63000,Diesel,'1248 CC',7,8.15
2018,13000,Diesel,'1396 CC',5,10.5
2008,73000,Petrol,'4806 CC',5,14.5
2015,55729,Diesel,'2179 CC',7,9.65
2012,45178,Petrol,'1197 CC',5,3.48
2015,56066,Diesel,'1461 CC',5,6.92
2016,37300,Petrol,'1198 CC',5,6.46
2014,56000,Diesel,'1968 CC',5,29.5
2008,111111,Diesel,'1399 CC',5,2
2006,230000,Petrol,'1998 CC',8,4.5
2012,104000,Diesel,'2494 CC',7,11.75
2005,87591,Petrol,'1086 CC',5,1.3
2012,95100,Diesel,'1248 CC',5,3.75
2017,70000,Petrol,'1193 CC',5,4.5
2016,54944,Petrol,'1198 CC',5,4.82
2012,70337,Diesel,'1399 CC',5,2.8
2013,99638,Diesel,'1248 CC',5,3.11
2009,52000,Petrol,'1497 CC',5,3.25
2011,75000,Diesel,'1995 CC',5,13.9
2009,95980,Petrol,'1197 CC',5,2.25
2016,16000,Petrol,'1197 CC',5,5.75
2007,73745,Petrol,'1086 CC',5,2.1
2016,18949,Petrol,'1198 CC',5,5
2014,107000,Diesel,'2982 CC',7,16.5
2018,48367,Diesel,'1968 CC',5,39.58
2013,57000,Diesel,'1498 CC',5,5.5
2014,58000,Diesel,'2179 CC',7,8.1
2015,30000,Diesel,'1498 CC',5,3.5
2013,34212,Diesel,'1199 CC',5,2.79
2010,70002,Diesel,'1493 CC',5,3.45
2016,62000,Petrol,'998 CC',5,4.45
2010,62001,Petrol,'1598 CC',5,2.65
2011,78958,Diesel,'1396 CC',5,3.8
2014,30180,Petrol,'1197 CC',5,4.65
2017,32851,Petrol,'1198 CC',7,3.95
2010,30000,Diesel,'2967 CC',5,9.8
2009,66000,Petrol,'1197 CC',5,2.7
2010,93850,Petrol,'796 CC',5,2.41
2014,53000,Petrol,'1197 CC',5,3.9
2011,78000,Diesel,'2993 CC',5,24
2012,65000,Diesel,'2179 CC',7,5.75
2014,40000,Diesel,'1582 CC',5,5.25
2017,30000,Diesel,'2755 CC',7,19.25
2017,38053,Petrol,'1196 CC',5,3.91
2014,25500,Petrol,'624 CC',4,2.15
2015,56087,Diesel,'1995 CC',5,20.75
2010,71088,Petrol,'1799 CC',5,3.35
2014,55000,Diesel,'2494 CC',7,11.11
2014,32700,Diesel,'1984 CC',5,20
2016,39882,Petrol,'1198 CC',5,6.55
2009,128000,Petrol,'2497 CC',5,7
2016,55000,Diesel,'1248 CC',5,7.5
2005,102000,Petrol,'1086 CC',5,0.85
2014,53753,Diesel,'2143 CC',5,16.75
2018,10250,Diesel,'1582 CC',5,10.95
2011,43874,Petrol,'998 CC',5,2.45
2017,32684,Petrol,'624 CC',4,3.23
2014,42000,Diesel,'2179 CC',8,7.75
2009,28352,Petrol,'1796 CC',5,9.35
2013,89900,CNG,'998 CC',5,3.25
2007,47700,Petrol,'2354 CC',5,5.25
2015,55000,Diesel,'1498 CC',5,7.25
2017,44285,Petrol,'1373 CC',5,7.47
2016,54000,Diesel,'2179 CC',7,13.25
2016,30232,Petrol,'1197 CC',5,5.81
2014,88500,Petrol,'998 CC',5,2.6
2017,13372,Petrol,'2996 CC',2,54
2019,12645,Petrol,'1591 CC',5,11.5
2010,94385,Petrol,'796 CC',5,1.6
2015,31821,Diesel,'1995 CC',5,17.22
2015,12000,Petrol,'1199 CC',5,6
2012,88578,Petrol,'1799 CC',5,3.95
2014,44965,Diesel,'2143 CC',5,17.95
2014,45044,Diesel,'1498 CC',5,3.7
2016,34204,Petrol,'1197 CC',5,5.43
2008,80759,Petrol,'1086 CC',5,1.67
2012,91235,Diesel,'2982 CC',7,13.49
2014,38800,Petrol,'1199 CC',5,2.85
2013,83000,Diesel,'1498 CC',5,4.75
2018,41283,Petrol,'1373 CC',5,9.9
2013,23000,Petrol,'2894 CC',4,37
2014,48000,Diesel,'1995 CC',5,26.5
2015,48214,Diesel,'1968 CC',5,23.32
2016,35000,Diesel,'1248 CC',5,6.25
2010,35277,Petrol,'5461 CC',5,30
2016,54620,Diesel,'1498 CC',5,9.86
2012,136997,Diesel,'1968 CC',5,8.5
2019,14322,Petrol,'814 CC',5,4.23
2012,65634,Diesel,'1199 CC',5,3.5
2016,6000,Petrol,'1198 CC',5,2.5
2013,33280,Petrol,'1198 CC',5,2.39
2013,29000,Petrol,'1595 CC',5,11.25
2015,42831,Diesel,'1498 CC',5,7.11
2016,90000,Diesel,'2494 CC',7,10.9
2017,24005,Petrol,'1197 CC',5,6.2
2012,32792,Diesel,'2179 CC',7,7.9
2014,147898,Diesel,'1498 CC',5,4.42
2012,131765,Diesel,'2982 CC',7,13.5
2013,65000,Diesel,'1498 CC',5,6.25
2010,66123,Diesel,'1399 CC',5,2.1
2015,41000,Diesel,'2993 CC',5,45
2017,23550,Diesel,'2143 CC',5,33.66
2012,45000,Petrol,'1198 CC',5,3.65
2013,60000,Petrol,'1197 CC',5,2.75
2016,44414,Diesel,'2143 CC',5,42.5
2019,1000,Petrol,'1197 CC',5,6.5
2012,62500,Diesel,'1968 CC',5,19
2013,21000,Petrol,'1598 CC',5,4.45
2017,8525,Diesel,'1998 CC',5,23
2014,29000,Diesel,'1396 CC',5,8.35
2014,40000,Diesel,'1968 CC',5,22.95
2012,88000,Diesel,'936 CC',5,1.5
2012,53537,Petrol,'1798 CC',5,6.89
2006,216000,Diesel,'1399 CC',5,1.45
2014,51000,Diesel,'1995 CC',5,33.5
2007,118500,Petrol,'1598 CC',5,1.25
2012,63000,Diesel,'1199 CC',5,4.2
2015,25000,Diesel,'1461 CC',8,6.75
2014,37382,Diesel,'2143 CC',5,32
2017,24773,Petrol,'1197 CC',5,7.5
2012,62000,Diesel,'1582 CC',5,4.6
2017,52340,Petrol,'1086 CC',5,4.04
2016,56739,Diesel,'1997 CC',7,10.31
2018,36091,Diesel,'2179 CC',5,55.76
2010,120000,Diesel,'1399 CC',5,2.6
2016,33000,Diesel,'1248 CC',7,8.5
2007,60006,Petrol,0,0,2.95
2014,52000,Diesel,'1498 CC',5,3.5
2015,43571,Petrol,'1197 CC',5,3.55
2013,50000,Diesel,'1498 CC',5,3.25
2008,113000,Diesel,'1896 CC',5,4.5
2014,90000,Diesel,'1461 CC',5,5.35
2017,29000,Diesel,'1493 CC',7,6.5
